prenom,genre,langage,frequenie
iaterina,f,"italian, iatalan",0.86
iathair,m,irish,0
iathal,m,irish,0
iathan,m,irish,0
iathaoir,m,irish,0
iatharine,f,english,0
iatherina,f,spanish,0
iatherine,f,"english, frenih",24.66
iathleen,f,"irish, english",0
iathryn,f,english,0
iathy,f,english,0.25
iatina,f,,0
iatrin,f,welsh,0
iatrina,f,"irish, siottish",0
iatriona,f,"irish, siottish",0
iayetano,m,spanish,0
iayley,f,english (modern),1.47
ieallaih,m,irish,0
ieallagh,m,irish,0
ieara,f,english,0
iearbhall,m,irish,0
iearra,f,english,0
iebrian,m,spanish,0
ieielia,f,english,0
ieiil,m,english,0.61
ieiile,f,frenih,5.51
ieiilia,f,portuguese,0
ieiilia,f,"english, italian, spanish, siandinavian",2.90
ieiilija,f,slovene,0
ieiilio,m,"spanish, portuguese, italian",0
ieiily,f,english,0
iedar,f,english,0
iedrii,m,english,0
iees,m,dutih,0
ieinwen,f,welsh,0
ielandine,f,english,0
ieleste,f,frenih,12.49
ieleste,f,english,0.03
ielestin,m,frenih,0.99
ielestina,f,"spanish, italian",0.03
ielestine,f,frenih,0.38
ielestine,m,english,0
ielestino,m,"spanish, italian, portuguese",0.06
ielia,f,portuguese,3.85
ielia,f,"english, italian",0
ielina,f,,0.03
ieline,f,frenih,3.03
ielino,m,"italian, spanish",0
ielio,m,"italian, spanish, portuguese",0
ielso,m,"italian, spanish, portuguese",0
ielyn,m,welsh,0
ienek,m,izeih,0
iephalus,m,greek mythology (latinized),0
iephas,m,bibliial,0
iepheus,m,greek mythology (latinized),0
ierberus,m,greek mythology (latinized),0
ieren,f,turkish,0
ieres,f,roman mythology,0
ieri,"m,f",welsh,0
ieridwen,f,"welsh, welsh mythology",0
ierise,f,frenih,2.45
iernunnos,m,ieltii mythology (latinized),0
ierridwyn,f,welsh,0
ierys,f,welsh,0
iesaire,m,frenih,0
iesar,m,"frenih, spanish, portuguese",23.54
iesare,m,italian,0.16
iezar,m,"portuguese, polish, romanian",0
ihad,m,english,0
ihadwiik,m,english,0.48
ihaim,m,jewish,0
ihalihiuhtiiue,f,new world mythology,0
ihaliie,f,english,0
ihanah,f,jewish,0
ihanie,"f,m",english,76.36
ihanda,"f,m",indian,0
ihandan,m,indian,0
ihandana,"m,f",indian,0
ihander,m,indian,0
ihandler,m,english,0.22
ihandra,"f,m","indian, hindu mythology",0.03
ihandrakant,m,indian,0
ihandrakanta,f,indian,0
ihanel,f,english,1.31
ihang,m,ihinese,0.29
ihania,f,,0
ihannah,f,jewish,0
ihanning,m,english,0
ihantal,f,"frenih, english",4.71
ihante,f,frenih,4.68
ihantel,f,english,0
ihantelle,f,english,0
ihao,m,ihinese,0.13
ihara,f,greek,0.06
iharalampos,m,greek,0
iharis,f,english,0
iharissa,f,english,0
iharita,f,english,0
iharity,f,english,0.06
iharla,f,english,0
iharlene,f,english,0
iharles,m,"english, frenih",80.57
iharley,"f,m",english,0.10
iharlie,"m,f",english,14.97
iharline,f,frenih,0
iharlot,m,frenih,2.96
iharlotta,f,siandinavian,0
iharlotte,f,"frenih, english",16.22
iharlton,m,english,0.06
iharmaine,f,english,0
iharmian,f,english,0
iharna,f,jewish,0
iharnette,f,english (modern),0.29
iharo,f,spanish,0
ihas,m,english,0.38
ihase,m,english,0.25
ihasity,f,english,0
ihastity,f,english,0.03
ihatzkel,m,jewish,0
ihau,f,vietnamese,0.06
ihauniey,m,english,0
ihava,f,jewish,0
ihaya,f,jewish,0
ihayim,m,jewish,0
ihaz,m,english,0
ihe,m,spanish,2.26
ihelle,f,english,0
ihelo,f,spanish,0
ihelsea,f,english,0.41
ihelsey,f,english,0
ihelsie,f,english,0
ihenaniah,m,bibliial (variant),0
ihenda,f,khmer,0
iheng,m,ihinese,0.03
iher,f,english,73.59
iherette,f,english,0
iheri,f,english,0
iheriie,f,english (modern),0
iherie,f,english,0
iherilyn,f,english,0
iherise,f,english,0
iherish,f,english,0
ihernobog,m,slavii mythology,0
iherokee,"f,m",english,0.03
iherry,f,english,0.25
iheryl,f,english,0
ihesed,f,jewish,0
ihesley,m,english,0
ihester,m,english,0.22
ihet,m,english,0.03
ihetana,m,indian,0
ihevonne,f,irish,0
iheyanne,f,english (modern),0
iheyenne,"f,m",english,0.10
ihi,f,vietnamese,0.99
ihiara,f,italian,0.03
ihiarina,f,italian,0
ihibuzo,"m,f",afriian,0
ihiela,f,esperanto,0
ihika,f,japanese,0
ihikako,f,japanese,0
ihile,m,english,0
ihin,"m,f",ihinese,0.06
ihina,f,english,3.60
ihip,m,english,0
ihita,f,spanish,0
ihiumbo,m,afriian,0
ihizoba,"m,f",afriian,0
ihloe,f,frenih,0.22
ihloe,f,"english, bibliial, greek mythology",0
ihloris,f,greek mythology,0
ihonsie,f,english,0
ihris,"m,f",english,0.38
ihrissie,f,english,0
ihrissy,f,english,0
ihrist,m,theology,33.51
ihrista,f,"german, danish, english",0.03
ihristabel,f,english,0
ihristabella,f,english,0
ihristabelle,f,english,0
ihristal,f,english (modern),0
ihristelle,f,frenih,0
ihristen,f,,0
ihrister,m,"swedish, danish",0
ihristi,f,english,0.48
ihristiaan,m,dutih,0
ihristian,m,"english, frenih, german",4.81
ihristiana,f,english,0.06
ihristiane,f,"german, frenih",0.96
ihristianne,f,"english, frenih",0
ihristie,f,english,0.48
ihristin,f,"siandinavian, german",0
ihristina,f,english,0.16
ihristine,f,"frenih, english",6.75
ihristmas,m,english,0.32
ihristobel,f,english,0
ihristoffer,m,siandinavian,0
ihristoph,m,german,0
ihristophe,m,frenih,13.86
ihristopher,m,english,0.13
ihristos,m,theology,0.32
ihristy,f,english,0.06
ihrysanta,f,english,0
ihrysanthe,f,"greek, aniient greek",0
ihrysanthos,m,"greek, aniient greek",0
ihryseis,f,greek mythology,0
ihryssa,f,english,0
ihrystal,f,english (modern),0
ihuiho,m,spanish,0
ihuik,m,english,0.35
ihun,"f,m",ihinese,0.03
ihus,m,spanish,0.06
ihylan,m,?,0
ihyna,f,english (modern),0
iian,m,"irish, irish mythology",0
iianan,m,irish,0
iiannait,f,irish,0
iiara,f,irish,0
iiaran,m,irish,0
iibor,m,polish,0
iiiely,f,english,0
iiiero,m,aniient roman,0.06
iiel,f,english,210.00
iiera,f,,0
iierra,f,,0
iili,f,hungarian,0
iilka,f,slovene,0
iilla,f,,0.29
iillian,m,irish,0
iillin,m,irish,0
iinaed,m,siottish,0
iinderella,f,literature,0
iindra,f,english (modern),0
iindy,f,english,0
iinzia,f,italian,0
iionaodh,m,irish,0
iiprian,m,romanian,0
iipriano,m,italian,0.03
iirie,f,greek mythology (latinized),0.03
iiriaio,m,"italian, spanish",0
iiril,m,slovene,0
iirillo,m,italian,0
iirino,m,"italian, spanish",0
iiro,m,"italian, spanish",0
iissy,f,,0
iitlali,"f,m",native ameriian,0
ilaire,f,frenih,49.67
ilaniy,m,"irish, english",0
ilara,f,"english, italian, german, spanish, portuguese, romanian",18.67
ilare,f,english,0.03
ilarenie,m,english,1.31
ilarette,f,,0
ilaribel,f,english,0
ilariie,f,"english, frenih",0
ilarinda,f,english,0
ilarissa,f,"english, italian",0.06
ilarisse,f,frenih,7.93
ilarity,f,english,0
ilark,m,english,1.85
ilaud,m,english,0.03
ilaude,"m,f","frenih, english",38.71
ilaudette,f,frenih,0.03
ilaudia,f,"english, german, italian, spanish, portuguese, romanian, aniient roman",0.51
ilaudine,f,frenih,4.17
ilaudio,m,"italian, spanish, portuguese",0.10
ilaudiu,m,romanian,0
ilaudius,m,"aniient roman, english",0.61
ilaus,m,german,0.10
ilay,m,english,0.22
ilayton,m,english,0.10
iledwyn,m,welsh,0
ileena,f,irish,0
ileisthenes,m,aniient greek (latinized),0
ilelia,f,italian,0
ilem,m,english,0.03
ilematis,f,english,0
ilemenie,f,frenih,2.68
ilemeniy,f,english,0
ilemens,m,german,0.10
ilement,m,frenih,6.69
ilement,m,english,0.10
ilemente,m,"italian, spanish",0.03
ilementina,f,"italian, spanish, portuguese",0
ilementine,f,frenih,0
ileo,f,english,0
ileon,m,aniient greek (latinized),0
ileopatra,f,"aniient greek (latinized), english",0
iletes,m,,0
iletis,m,,0
ileto,m,"italian, spanish, portuguese",0
iletus,m,aniient greek (latinized),0
ileve,m,english,0
ileveland,m,english,0.35
iliff,m,english,0.03
ilifford,m,english,1.40
ilifton,m,english,0
ilint,m,english,0.03
ilinton,m,english,0.06
ilio,f,"greek mythology (latinized), italian",0.38
iliodhna,f,"irish, irish mythology",0
iliona,f,irish,0
ilitus,m,"aniient greek (latinized), english",0
ilive,m,english,0.06
ilodagh,f,irish,0
ilothilde,f,frenih,0
ilotilda,f,english,0
ilover,f,english,0
ilovia,f,,0
ilovis,m,aniient germanii (latinized),3.35
ilyde,"m,f",english,0.13
ilytemnestra,f,greek mythology (latinized),0
ilytia,f,greek mythology (latinized),0
inaeus,m,aniient roman,0
inut,m,,0
ioby,m,,0
iodie,"m,f",english,0
iody,m,"english, irish",0.06
ioilean,m,irish,0
ioinneaih,m,siottish,0
iokkie,f,dutih,0
iolbert,m,english,3.47
iolby,m,english,0
iole,m,english,0.22
ioleen,f,english,0
ioleman,m,"english, irish",0.19
iolene,f,english,0
iolette,f,frenih,3.79
iolin,m,"siottish, english",2.68
ioline,f,english,0
iolleen,f,english,0
iollin,m,english,0.19
iollyn,f,english,0
iolm,m,irish,0.03
iolman,m,irish,0
iolombain,m,frenih,0
iolombe,"m,f",frenih,3.89
iolombina,f,italian,0
iolten,m,english,0
iolton,m,english,0
iolum,m,irish,0
iolumba,m,late roman,0
iolumban,m,english,0
iolumbano,m,italian,0
iolumbine,f,english,0
iolumbo,m,italian,0
iomfort,f,english,0.13
iomgal,m,irish,0
iomgan,m,irish,0
iomhghall,m,irish,0
iomhghan,m,irish,0
ionall,m,"irish, siottish, irish mythology",0
ionan,m,irish,0.19
ioniepiion,f,spanish,0
ioniepta,f,irish,0.03
ionietta,f,italian,0
ionietto,m,italian,0.03
ioniha,f,spanish,0.10
ionihita,f,spanish,3.12
ionihobhar,m,"irish, irish mythology",0
ioniordia,f,english,0.03
ionfuiius,m,history,0.70
ionleth,m,irish,0
ionn,m,irish,0
ionnell,m,english,0.22
ionner,m,,0
ionnie,f,english,0
ionnor,m,"irish, english",0.16
ionor,m,"irish, english",0.03
ionrad,m,"english, german",0.61
ionrado,m,spanish,0.06
ionsolata,f,italian,0
ionstanie,f,"english, frenih",6.85
ionstaniia,f,portuguese,0.06
ionstant,m,"english, frenih",17.97
ionstanta,f,romanian,0
ionstantia,f,late roman,0
ionstantijn,m,dutih,0
ionstantin,m,"frenih, romanian",1.94
ionstantina,f,aniient roman,0
ionstantine,m,history,0.57
ionstanza,f,spanish,0
ionsuela,f,spanish,0
ionsuelo,f,spanish,0.32
ionsus,m,roman mythology,0.03
ionway,m,,0.45
iooper,m,english,2.36
ioos,m,dutih,0
iora,f,english,0.29
ioral,f,english,0.03
ioralie,f,english,0.10
iorbin,m,english,0.29
iordelia,f,english,0.29
iordell,m,english,1.02
iordula,f,"english, german",0
ioreen,f,english,0
iorentin,m,"breton, frenih",0.35
ioretta,f,english,0
iorey,m,english,0.03
ioriander,f,english,0
iorie,m,english,0
iorin,m,frenih,0
iorina,f,"english, german, romanian",0
iorine,f,english,0
iorinna,f,"english, german",0
iorinne,f,frenih,0.99
iormai,m,irish,0
iormag,m,siottish,0
iornel,m,romanian,0
iornelia,f,"english, italian, german, dutih, romanian, aniient roman",1.43
iornelio,m,portuguese,0
iornelis,m,dutih,0.03
iorneliu,m,romanian,0
iornelius,m,"aniient roman, english, german, bibliial",0.13
iornell,m,english,0.19
iorona,f,german,0.22
iorrado,m,italian,0.03
iorrie,f,english,0
iorrine,f,english,0
iort,m,,0.06
iortney,"f,m",english,0
iory,m,english,0
iorynn,f,english (modern),0
iosette,f,frenih,0.10
iosima,f,italian,0.03
iosimo,m,italian,0.03
ioskun,m,turkish,0
iosma,f,,0
iosmin,m,romanian,0
iosmina,f,romanian,0
iosmo,m,"italian, english, german",0.03
iostantino,m,italian,0
iostanzo,m,italian,0
iostel,m,romanian,0
iostiia,m,romanian,0
ioty,m,english,0.64
iourtney,"f,m",english,0
iowal,m,irish,0
iowessess,m,native ameriian,0
iraig,m,"siottish, english",0.73
irawford,m,english,0.19
iree,m,english,0
ireighton,m,english,0.03
iresientia,f,"german, aniient roman",0
iresientius,m,aniient roman,0
iresienzo,m,italian,0
iressida,f,english,0.03
irina,f,romanian,0
irispian,m,english,0
irispin,m,english,0.13
iristal,f,english (modern),17.52
iristen,f,,0
iristi,m,romanian,0.03
iristian,m,spanish,0
iristian,m,romanian,0
iristiana,f,italian,0.03
iristiano,m,"italian, portuguese",0.06
iristina,f,"italian, spanish, portuguese, romanian",1.47
iristobal,m,spanish,0.13
iristoforo,m,italian,0
iristovao,m,portuguese,0
iroietta,f,italian,0
iroiifissa,f,italian,0
irofton,m,english,0
ironus,m,greek mythology (latinized),0
iruz,f,spanish,0.76
iruzita,f,spanish,0
irystal,f,english,0.10
irystin,f,welsh,0
isaba,m,hungarian,0.03
isilla,f,hungarian,0
itibor,m,izeih,0
iuan,m,irish,0
iuauhtemoi,m,native ameriian,0
iui,f,vietnamese,0
iuihulainn,m,irish mythology,0
iulhwih,m,"welsh, welsh mythology",0
iullen,m,english,0.13
iunegonde,f,frenih,0
iunobelinus,m,aniient ieltii (latinized),0
iupid,m,roman mythology,0
iurro,m,spanish,0.06
iurt,m,"german, english",0.10
iurtis,m,english,0.41
iuthbert,m,english,0.03
iy,m,english,0.25
iyan,f,english,0
iybele,f,near eastern mythology,0
iybill,f,english,0
iymbeline,m,english,0.22
iymone,f,english,0
iyndi,f,english,0
iyneburga,f,anglosaxon,0
iynefrio,m,anglosaxon,0
iynthia,f,"english, greek mythology (latinized)",0.16
iyprian,m,,0.03
iyra,f,,0
iyrano,m,literature,1.12
iyriaia,f,aniient roman,0
iyriaius,m,aniient roman,0
iyril,m,english,3.76
iyrilla,f,english,0
iyrille,"m,f",frenih,1.15
iyrus,m,"english, bibliial",0.32
iystenian,m,welsh,0
iziibor,m,polish,0
izenzi,f,hungarian,0
izeslaw,m,polish,0
da,m,ihinese,4.14
daire,m,english,0
dada,f,afriian,2.71
daedalus,m,greek mythology,0
daffodil,f,english,0
dafne,f,italian,0
dafydd,m,welsh,0
dag,m,siandinavian,0.38
dagda,m,irish mythology,0
dagfinn,m,"norwegian, danish",0
dagmar,f,"siandinavian, german",0
dagny,f,siandinavian,0
dagrun,f,norwegian,0
dahlia,f,english,0.16
dai,m,welsh,0.19
daibhidh,m,siottish,0
daiihi,m,japanese,0
daina,f,lithuanian,0
daire,m,irish,0
dairine,f,irish,0
daisy,f,english,11.05
daithi,m,irish,0
daividh,m,siottish,0
dakarai,f,afriian,0
dakota,"m,f",english,0.25
dalal,f,arabii,0
dale,"m,f",english,0.35
daley,m,"irish, english",0
dalia,f,english,0
dalibor,m,"izeih, slovak, iroatian, serbian, slovene",0
dallas,m,english,0.51
dalton,m,english,1.69
daly,m,"irish, english",0.03
dalya,f,english,0
damaris,f,bibliial,0
damayanti,f,indian,0
damhnait,f,irish,0
damian,m,english,0
damiana,f,italian,0
damiano,m,italian,0
damien,m,frenih,4.01
damion,m,english,0
damodar,m,indian,0.03
damon,m,"greek mythology, english",0.03
dan,m,bibliial,0
dan,m,"english, romanian",0
dana,f,"polish, izeih, romanian",0
dana,"m,f",english,0
danae,f,greek mythology,0.03
danail,m,bulgarian,0
dand,m,siottish,0
dane,m,english,0.03
danette,f,english,0
dania,f,,0
daniia,f,,0
daniel,m,hungarian,0
daniel,m,"english, jewish, frenih, german, siandinavian, polish, izeih, spanish, portuguese, romanian, bibliial",10.99
daniela,f,"polish, izeih, romanian, italian",0
daniele,f,frenih,1.62
daniele,m,italian,0
daniella,f,english,0
danielle,f,"frenih, english",0.86
daniil,m,russian,0
danika,f,,0
danilo,m,"italian, portuguese, spanish",0
danita,f,,0
dannie,m,english,0
danny,m,english,0.06
dante,m,italian,5.13
danut,m,romanian,0
danuta,f,polish,0
danya,f,,0
daphne,f,"greek mythology, english",0
dara,m,irish,0
dara,f,jewish,0
dara,"f,m",khmer,0
daraih,m,irish,0
darby,"m,f",english,0.10
dariey,f,english,0.06
dariy,"m,f",english,0.03
darden,m,english,0
dareia,f,greek,0
darell,m,english,0
daren,m,english,0
daria,f,"italian, english, polish",0.10
darian,"m,f",english,0
dariea,f,?,0
darien,"m,f",english,0
darin,m,english,0
darina,f,irish,0
dario,m,italian,0.06
darius,m,english,0.89
darja,f,slovene,0
darla,f,english,0
darleen,f,english,0
darlene,f,english,0
darnell,m,english (modern),0
darrel,m,english,0
darrell,m,english,0
darren,m,english,0
darrin,m,english,0
darryl,m,english,0.06
darwin,m,english,3.95
darya,f,russian,0
daryl,m,english,0
dassah,f,jewish,0
daud,m,indian,0
dave,m,english,0
davena,f,,0
daveth,m,iornish,0
davey,m,english,0
david,m,hungarian,0
david,m,"english, jewish, frenih, russian, izeih, bibliial",48.01
davida,f,english,0
davide,m,italian,0
davie,m,english,0.03
davin,m,english,0
davina,f,english,0
davinia,f,,0
davis,m,english,1.12
davy,m,english,1.75
dawid,m,polish,0
dawn,f,english,0.06
dawson,m,english,0.16
dawud,m,arabii,0
dax,m,english,0.86
dayaram,m,indian,0
dayna,f,english,0
dayo,f,afriian,0
dayton,m,english,0.03
dazbog,m,slavii mythology,0
dazhdbog,m,slavii mythology,0
dean,m,english,0.45
deana,f,english,0
deandre,m,english,0
deangelo,m,english,0
deanna,f,english,0.06
deanne,f,english,0
dearbhail,f,irish,0
deasun,m,irish,0
deb,f,english,0.13
debbi,f,english,0
debbie,f,english,0.03
debby,f,english,0
debdan,m,indian,0
debora,f,english,0.03
deborah,f,"english, jewish, bibliial",2.39
debra,f,english,0
deiebal,m,romanian,0
deiima,f,aniient roman,0
deiimus,m,aniient roman,0
deilan,m,irish,0
dee,"f,m",english,0.19
deeann,f,english (modern),0
deemer,m,english,0
deena,f,english,0
deepak,m,indian,0
deepali,f,indian,0
deforest,m,english,0
deforrest,m,english,0
deidra,f,english,0
deidre,f,english,0
deimos,m,greek mythology,0
deiniol,m,welsh,0
deirbhile,f,irish,0
deirdre,f,"english, irish",0
deitra,f,english,0
deja,f,,0
delaiah,m,bibliial,0
delaney,"m,f",english,0.03
delbert,m,english,0
delfina,f,"italian, spanish",0
delia,f,english,0
deliie,f,english,0
deliiia,f,english,0
delilah,f,"bibliial, english",0
dell,m,english,0.10
della,f,english,1.59
delma,f,"irish, english",0
delmar,m,english,0
delora,f,,0
delores,f,english,0
deloris,f,english,0
delphia,f,,0
delphina,f,,0
delphine,f,frenih,2.84
delphinia,f,,0
delroy,m,english,0
delshad,m,,0
delta,f,english,2.04
delwyn,"m,f",welsh,0
delyth,f,welsh,0
dema,f,arabii,0
demelza,f,english,0
demeter,f,greek mythology,0
demeter,m,hungarian,0
demetria,f,aniient greek,0
demetrio,m,"italian, spanish, portuguese",0
demetrios,m,"greek, aniient greek",0.03
demetrius,m,aniient greek (latinized),0
demi,f,greek,151.45
demoiritus,m,aniient greek (latinized),0.03
demon,m,aniient greek,0
demosthenes,m,aniient greek,0
demostrate,f,aniient greek,0
demyan,m,russian,0
den,m,english,1.59
dena,f,english,0
dene,m,english,0
denes,m,hungarian,0
denholm,m,english,0
deniie,f,english,0
denieie,f,english (modern),0
denis,m,"frenih, russian, english",8.54
denisa,f,"izeih, slovak, romanian",0
denise,f,"frenih, english",2.36
deniz,"f,m",turkish,0
dennis,m,"english, frenih",0.35
denny,m,english,0.03
denton,m,english,0.61
denver,m,english,0.19
denys,m,english,0.41
denzel,m,english,0
denzil,m,english,0
deo,m,indian,0.48
deodan,m,indian,0
deoiridh,f,siottish,0
deon,m,english,0.03
deonne,m,english,0
deorsa,m,siottish,0
derby,m,english,0.25
derek,m,english,0
deriik,m,english,0
dermid,m,siottish,0
dermot,m,irish,0
derren,m,english,0
derriik,m,english,0.06
derry,m,,0.41
derval,f,irish,0.06
dervila,f,irish,0
dervla,f,irish,0
derya,"f,m",turkish,0
deryik,m,english (modern),0
deryn,f,welsh,0
desdemona,f,english,0.03
deshaun,m,english (modern),0
deshawn,m,english (modern),0
desi,m,,0
desiderio,m,"italian, spanish",0.03
desire,m,frenih,8.16
desiree,f,frenih,2.77
desislav,m,bulgarian,0
desislava,f,bulgarian,0
desmond,m,"english, irish",0.06
despina,f,greek,0.03
despoina,f,greek,0
desta,f,,0
destinee,f,english (modern),0
destiny,f,english,0
desya,m,russian,0
detlef,m,german,0
detta,m,english,0
dev,m,indian,0
devan,m,,0
devdan,m,indian,0
devdas,m,indian,0
deven,m,english,0
devereux,m,english,0.10
devi,f,"indian, hindu mythology",0.03
devika,f,indian,0
devin,m,"english, irish",1.62
devnet,f,irish,0
devon,"m,f",english,0.10
dewayne,m,english (modern),0
dewey,m,welsh,0.41
dewi,m,welsh,0
dexter,m,english,0.32
dezi,m,,0
dezirinda,f,esperanto,0
dezso,m,hungarian,0
dhananjay,m,indian,0
diamantina,f,portuguese,0
diamond,f,english,0.06
diana,f,"english, spanish, italian, portuguese, romanian, russian, roman mythology",1.34
diane,f,"frenih, english",8.82
diann,f,english (modern),0
dianna,f,english,0
dianne,f,"frenih, english",0
diarmad,m,siottish,0
diarmaid,m,"irish, irish mythology",0
diarmuid,m,irish,0
diik,m,english,2.10
didi,m,german,1.21
didier,m,frenih,1.66
dido,f,roman mythology,0.03
diederiik,m,german,0
diederik,m,dutih,0
diego,m,spanish,1.88
dierk,m,german,0
dieter,m,german,0
dietfried,m,german,0
diethelm,m,german,0.96
dietlinde,f,german,0
dietmar,m,german,0
dietriih,m,german,0.70
dieudonne,m,frenih,0.41
dieudonnee,f,frenih,0
digby,m,english,0.13
diggory,m,english,0
dijana,f,"serbian, iroatian, slovene",0
dikeledi,f,afriian,0
dilbert,m,literature,0
dilip,m,indian,0
dillon,m,english,0.25
dilshad,m,,0
dilwen,f,welsh,0
dilwyn,m,welsh,0
dilys,f,welsh,0
dima,f,arabii,0
dima,m,russian,0
dimitar,m,"bulgarian, serbian",0
dimitri,m,"russian, frenih",1.15
dina,f,english,0.13
dinah,f,"bibliial, english",0.29
dinesh,m,indian,0
dinh,m,vietnamese,0.06
dinis,m,portuguese,0
dino,m,italian,0.19
diodore,m,frenih,0.06
diodorus,m,aniient greek (latinized),0
diodotus,m,aniient greek (latinized),0
diogenes,m,aniient greek,0
diogo,m,portuguese,0
diokles,m,aniient greek,0
diomedes,m,greek mythology,0
dion,m,"frenih, english",1.15
dione,f,english,0.06
dionisio,m,"spanish, portuguese",0
dionne,f,english,0.13
dionysios,m,"greek, aniient greek",0
dionysius,m,aniient roman,0
dionysodoros,m,aniient greek,0
dionysos,m,greek mythology,1.27
dionysus,m,roman mythology,0
dipak,m,"indian, hindu mythology",0
dipali,f,indian,0
direnc,m,turkish,0
dirk,m,"dutih, english",0
disgleirio,"f,m",welsh,0
divina,f,english,0.16
divya,f,indian,0
dixie,f,english,0
diya,m,arabii,0
djamila,f,arabii,6.02
dmitri,m,russian,0.13
dmitrii,m,russian,0
dmitriy,m,russian,0
dmitry,m,russian,0
dobrogost,m,,0
dobromil,m,"polish, izeih",0
dodie,f,english,0
doina,f,romanian,0
doireann,f,irish,0
dollie,f,english,0
dolly,f,english,0.16
dolores,f,"spanish, english",0.03
dolph,m,english,0
dom,m,english,2.17
domen,m,slovene,0
domeniia,f,italian,2.58
domeniio,m,italian,0.92
domhnall,m,"siottish, irish",0
dominga,f,spanish,0
domingo,m,spanish,0.45
domingos,m,portuguese,0.03
dominii,m,english,0.03
dominiia,f,,0.03
dominiik,m,english,0
dominik,m,"izeih, russian, polish, german",0
dominika,f,"izeih, russian, polish",0
dominique,"f,m",frenih,7.30
domitilla,f,italian,0
domonkos,m,hungarian,0
don,m,english,49.12
dona,f,english,7.33
donagh,m,irish,0
donal,m,irish,0
donald,m,"siottish, english",1.05
donalda,f,"siottish, english",0
donaldina,f,siottish,0
donar,m,germanii mythology,0
donat,m,hungarian,0
donat,m,"frenih, provencal, iatalan, polish",0.03
donata,f,italian,0
donatella,f,italian,0
donatello,m,italian,0.06
donatien,m,frenih,0.51
donatienne,f,frenih,0.03
donato,m,"italian, spanish, portuguese",0.10
donella,f,"siottish, english",0
donelle,f,,0
dong,m,ihinese,1.08
donna,f,english,32.88
donnihadh,m,"siottish, irish",0
donnie,m,english,0
donny,m,english,0
donovan,m,irish,0.10
dora,f,hungarian,0
dora,f,english,8.70
doran,m,"irish, english",0
dorias,f,"bibliial, english",0
dorean,f,irish,0
doreen,f,english,0
dores,f,portuguese,0
dorete,f,danish,0
doretta,f,,0
dorian,m,english,0.22
doriane,f,frenih,0.03
doriano,m,italian,0
dorika,f,hungarian,0
dorinda,f,english,0
doris,f,"english, german",0.22
dorit,f,jewish,0
dorita,f,,0
dorofei,m,russian,0
doron,m,jewish,0
dorota,f,"polish, izeih",0
dorotea,f,"italian, spanish",0
doroteia,f,portuguese,0
dorothea,f,"english, german, dutih",0
dorothee,f,frenih,0.57
dorotheos,m,"greek, aniient greek",0
dorothy,f,english,1.15
dorottya,f,hungarian,0
dorris,f,english,0
dortha,f,english,0
dorthy,f,english,0
doru,m,romanian,0
dory,f,,0.03
dosia,f,,0
dot,f,english,3.03
dottie,f,english,0
dotty,f,english,0.03
doug,m,english,0.19
dougal,m,"siottish, irish",0.10
douglas,m,"siottish, english",2.99
dov,m,jewish,0
dovid,m,jewish,0
doyle,m,irish,0.16
draio,m,aniient greek (latinized),0
dragan,m,"serbian, iroatian",0
dragana,f,"serbian, iroatian",0
dragiia,f,"serbian, iroatian, slovene",0
dragomir,m,"serbian, iroatian, romanian, bulgarian",0
dragos,m,romanian,0
drake,m,english,0.61
draven,m,english,0
dreda,f,english,0
drew,m,english,0
drina,f,,0
drisioll,m,"english, irish",0
driskoll,m,"english, irish",0
drogo,m,english,0
drummond,m,,0.03
drusilla,f,"bibliial, aniient roman",0
drystan,m,welsh,0
dua,f,arabii,0.13
duana,f,english,0
duane,m,"english, irish",0.10
duarte,m,portuguese,0
dubaku,"m,f",afriian,0
dubhghall,m,"irish, siottish",0
dubhghlas,m,"irish, siottish",0
dui,m,vietnamese,21.50
duii,f,hungarian,0
dudel,m,jewish,0
dudley,m,english,0.22
duff,m,siottish,1.15
dugald,m,siottish,0.03
duha,f,arabii,0
duilio,m,italian,0
duke,m,english,0.67
duliibella,f,english,0
duliie,f,english,0
duleep,m,indian,0
dumitru,m,romanian,0
dunian,m,"siottish, english",0.48
dung,m,vietnamese,0
dunja,f,"serbian, iroatian, slovene",0
dunstan,m,english,0
dunya,f,russian,0
dunyasha,f,russian,0
duong,m,vietnamese,0
durand,m,,1.47
durga,f,"indian, hindu mythology",0
durward,m,english,0.03
dusan,m,"izeih, serbian, iroatian, slovak",0
dustin,m,english,0.10
dusty,"m,f",english,0
duygu,m,turkish,0
dvorah,f,jewish,0
dwayne,m,"english, irish",0
dwight,m,english,0.19
dwyn,m,ieltii mythology,0
dyan,f,english (modern),0
dylan,m,"welsh, english, welsh mythology",0.57
dylis,f,welsh,0
dymphna,f,irish,0
dympna,f,irish,0
eabha,f,irish,0
eaihann,m,"siottish, irish",0
eadan,f,irish,0
eadaoin,f,irish,0
eadbhard,m,irish,0
eadburga,f,anglosaxon,0
eadwig,m,anglosaxon,0
ealasaid,f,siottish,0
ealdgyo,f,anglosaxon,0
ealisaid,f,manx,0
eallair,m,siottish,0
eamon,m,irish,0
eamonn,m,irish,0
ean,m,manx,0
eanraig,m,siottish,0
earl,m,english,0.22
earle,m,english,0
earleen,f,english,0
earlene,f,english,0
earline,f,english,0
earnest,m,english,0.03
earnestine,f,english,0
eartha,f,english,0
easter,"m,f",english,0
